Numÿro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriÿtaire
568768;6.186111111111111;48.67333333333333;"48ÿ40'24.000""N 6ÿ11'10.000""E";54547;"";6 AV PAUL DOUMER;54500;VANDOEUVRE LES NANCY;Bÿtiment;40.0;ORANGE Services Fixes
572038;6.191388888888889;48.739444444444445;"48ÿ44'22.000""N 6ÿ11'29.000""E";54305;LA CROIX DE MISSION;CHEM RURAL CÿTE DE FLAVEMONT;54690;LAY SAINT CHRISTOPHE;Pylÿne autostable;36.0;TDF
577294;6.131666666666667;48.6575;"48ÿ39'27.000""N 6ÿ7'54.000""E";54578;"";6 ALL PELLETIER DOISY;54600;VILLERS LES NANCY;Pylÿne tubulaire;24.0;TOTEM
577637;6.168888888888889;48.67138888888889;"48ÿ40'17.000""N 6ÿ10'8.000""E";54395;"";27 A R DU CARDINAL MATHIEU CTRE DE SECOURS-DDSIS;54000;NANCY;Pylÿne autostable;42.0;"SDIS, secours, incendie"
591931;6.210277777777778;48.668055555555554;"48ÿ40'5.000""N 6ÿ12'37.000""E";54274;"";6 SQ ALBERT LEBRUN;54140;JARVILLE LA MALGRANGE;Immeuble;54.0;"Commune, communautÿ de commune"
599905;6.166388888888889;48.68833333333333;"48ÿ41'18.000""N 6ÿ9'59.000""E";54395;"";"83/87, R RAYMOND POINCARRÿ RÿSIDENCE ST LAMBERT MEDREVILLE";54000;NANCY;Immeuble;34.4;"Copropriÿtÿ, Syndic, SCI"
602057;6.171944444444445;48.62777777777778;"48ÿ37'40.000""N 6ÿ10'19.000""E";54328;LE RAILLEU;"CHEM DE LA MINE L'ASSAUT";54710;LUDRES;Pylÿne autostable;23.0;TDF
605963;6.147777777777778;48.67888888888889;"48ÿ40'44.000""N 6ÿ8'52.000""E";54304;"";"2,R VICTOR HUGO TOUR FRANCHE-COMTÿ";54520;LAXOU;Immeuble;69.0;Sociÿtÿ HLM
609159;6.144444444444445;48.65083333333333;"48ÿ39'3.000""N 6ÿ8'40.000""E";54547;"";AV DE LA FORÿT DE HAYED D92 CENTRAL TÿLÿPHONIQUE;54500;VANDOEUVRE LES NANCY;Pylÿne autostable;30.0;TOTEM
614314;6.210833333333333;48.69583333333333;"48ÿ41'45.000""N 6ÿ12'39.000""E";54526;"";BD JEAN JAURÿS STADE MARCEL PICOT;54510;TOMBLAINE;Bÿtiment;22.0;"Commune, communautÿ de commune"
