Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
1441266;5.368888888888889;43.29888888888889;"43°17'56.000""N 5°22'8.000""E";13202;"";46 PL DES MOULINS;13002;MARSEILLE 2E ARRONDISSEMENT;Immeuble;18.0;Particulier
1450809;5.225;43.409166666666664;"43°24'33.000""N 5°13'30.000""E";13054;"";AVENUE LACANAU;13700;MARIGNANE;Bâtiment;10.0;Particulier
1457956;5.615833333333334;43.19638888888889;"43°11'47.000""N 5°36'57.000""E";13028;"";"AVENUE DE L'ABEILLE";13600;CIOTAT;Immeuble;26.0;Société HLM
1462746;5.276388888888889;43.35777777777778;"43°21'28.000""N 5°16'35.000""E";13088;"L'ESTABLON";NATIONALE 568 - VALLON DU GIPIER;13740;ROVE;Mât;10.0;"Commune, communauté de commune"
1464763;5.456666666666667;43.32972222222222;"43°19'47.000""N 5°27'24.000""E";13213;"";48 AVENUE FOURNACLE CITÉ LA MARIE BT 12;13013;MARSEILLE 13E ARRONDISSEMENT;Bâtiment;25.0;"Copropriété, Syndic, SCI"
1475636;5.341111111111111;43.350833333333334;"43°21'3.000""N 5°20'28.000""E";13216;"";"472 CHEMIN DE ST HENRI 480, TRAVERSE DU PAS DU FAOU";13016;MARSEILLE 16E ARRONDISSEMENT;Pylône haubané;12.0;ORANGE
1490968;5.924166666666666;43.184444444444445;"43°11'4.000""N 5°55'27.000""E";83103;LES CRUES;STADE DE LA RIPELLE;83200;REVEST LES EAUX;Pylône tubulaire;12.0;ORANGE
1497539;5.392777777777778;43.28333333333333;"43°17'0.000""N 5°23'34.000""E";13210;"";"19, RUE MENPENTI";13010;MARSEILLE 10E ARRONDISSEMENT;Bâtiment;25.0;ORANGE Services Fixes
1515946;5.562777777777778;43.27111111111111;"43°16'16.000""N 5°33'46.000""E";13005;QUARTIER LES FENESTRELLES;CHEMIN DE CARPIAGNE;13400;AUBAGNE;Pylône tubulaire;17.0;TOTEM
1520721;5.371388888888889;43.24388888888889;"43°14'38.000""N 5°22'17.000""E";13208;"";41 AV DE MONTREDON;13008;MARSEILLE 8E ARRONDISSEMENT;Immeuble;21.7;"Copropriété, Syndic, SCI"
