Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
172121;DECT (Téléphone domestique);1880-1900;"";""
172147;DECT (Téléphone domestique);1880-1900;"";""
172172;DECT (Téléphone domestique);1880-1900;"";""
172218;DECT (Téléphone domestique);1880-1900;"";""
172264;DECT (Téléphone domestique);1880-1900;"";""
172265;DECT (Téléphone domestique);1880-1900;"";""
172267;DECT (Téléphone domestique);1880-1900;"";""
172277;DECT (Téléphone domestique);1880-1900;"";""
172281;DECT (Téléphone domestique);1880-1900;"";""
172282;DECT (Téléphone domestique);1880-1900;"";""
172290;DECT (Téléphone domestique);1880-1900;"";""
172292;DECT (Téléphone domestique);1880-1900;"";""
172293;DECT (Téléphone domestique);1880-1900;"";""
172294;DECT (Téléphone domestique);1880-1900;"";""
172299;DECT (Téléphone domestique);1880-1900;"";""
172301;DECT (Téléphone domestique);1880-1900;"";""
172304;DECT (Téléphone domestique);1880-1900;"";""
172307;DECT (Téléphone domestique);1880-1900;"";""
172308;DECT (Téléphone domestique);1880-1900;"";""
172309;DECT (Téléphone domestique);1880-1900;"";""
172313;DECT (Téléphone domestique);1880-1900;"";""
172318;DECT (Téléphone domestique);1880-1900;"";""
172320;DECT (Téléphone domestique);1880-1900;"";""
172327;DECT (Téléphone domestique);1880-1900;"";""
172331;DECT (Téléphone domestique);1880-1900;"";""
172332;DECT (Téléphone domestique);1880-1900;"";""
172333;DECT (Téléphone domestique);1880-1900;"";""
172334;DECT (Téléphone domestique);1880-1900;"";""
172340;DECT (Téléphone domestique);1880-1900;"";""
172341;DECT (Téléphone domestique);1880-1900;"";""
172352;DECT (Téléphone domestique);1880-1900;"";""
172356;DECT (Téléphone domestique);1880-1900;"";""
172367;DECT (Téléphone domestique);1880-1900;0.07;""
172371;DECT (Téléphone domestique);1880-1900;"";""
172372;DECT (Téléphone domestique);1880-1900;"";""
172375;DECT (Téléphone domestique);1880-1900;"";""
172377;DECT (Téléphone domestique);1880-1900;"";""
172381;DECT (Téléphone domestique);1880-1900;"";""
172382;DECT (Téléphone domestique);1880-1900;0.05;""
172385;DECT (Téléphone domestique);1880-1900;"";""
172388;DECT (Téléphone domestique);1880-1900;"";""
172392;DECT (Téléphone domestique);1880-1900;"";""
172393;DECT (Téléphone domestique);1880-1900;"";""
172411;DECT (Téléphone domestique);1880-1900;"";""
172414;DECT (Téléphone domestique);1880-1900;"";""
172422;DECT (Téléphone domestique);1880-1900;"";""
172426;DECT (Téléphone domestique);1880-1900;"";""
172428;DECT (Téléphone domestique);1880-1900;"";""
172430;DECT (Téléphone domestique);1880-1900;"";""
172443;DECT (Téléphone domestique);1880-1900;"";""
172446;DECT (Téléphone domestique);1880-1900;"";""
172472;DECT (Téléphone domestique);1880-1900;"";""
172474;DECT (Téléphone domestique);1880-1900;"";""
172478;DECT (Téléphone domestique);1880-1900;"";""
172482;DECT (Téléphone domestique);1880-1900;"";""
172492;DECT (Téléphone domestique);1880-1900;"";""
172495;DECT (Téléphone domestique);1880-1900;"";""
172497;DECT (Téléphone domestique);1880-1900;"";""
172509;DECT (Téléphone domestique);1880-1900;"";""
172524;DECT (Téléphone domestique);1880-1900;"";""
172526;DECT (Téléphone domestique);1880-1900;"";""
172546;DECT (Téléphone domestique);1880-1900;"";""
172582;DECT (Téléphone domestique);1880-1900;"";""
172600;DECT (Téléphone domestique);1880-1900;"";""
172663;DECT (Téléphone domestique);1880-1900;"";""
172669;DECT (Téléphone domestique);1880-1900;"";""
172673;DECT (Téléphone domestique);1880-1900;"";""
172674;DECT (Téléphone domestique);1880-1900;"";""
172677;DECT (Téléphone domestique);1880-1900;"";""
172678;DECT (Téléphone domestique);1880-1900;"";""
172681;DECT (Téléphone domestique);1880-1900;"";""
172682;DECT (Téléphone domestique);1880-1900;"";""
172691;DECT (Téléphone domestique);1880-1900;"";""
172713;DECT (Téléphone domestique);1880-1900;"";""
172720;DECT (Téléphone domestique);1880-1900;"";""
172723;DECT (Téléphone domestique);1880-1900;"";""
172726;DECT (Téléphone domestique);1880-1900;"";""
172737;DECT (Téléphone domestique);1880-1900;"";""
172742;DECT (Téléphone domestique);1880-1900;"";""
172744;DECT (Téléphone domestique);1880-1900;"";""
172747;DECT (Téléphone domestique);1880-1900;"";""
172748;DECT (Téléphone domestique);1880-1900;"";""
172750;DECT (Téléphone domestique);1880-1900;"";""
172754;DECT (Téléphone domestique);1880-1900;"";""
172759;DECT (Téléphone domestique);1880-1900;"";""
172777;DECT (Téléphone domestique);1880-1900;"";""
172793;DECT (Téléphone domestique);1880-1900;"";""
172794;DECT (Téléphone domestique);1880-1900;"";""
172799;DECT (Téléphone domestique);1880-1900;"";""
172803;DECT (Téléphone domestique);1880-1900;"";""
172806;DECT (Téléphone domestique);1880-1900;0.01;""
172810;DECT (Téléphone domestique);1880-1900;"";""
172811;DECT (Téléphone domestique);1880-1900;"";""
172827;DECT (Téléphone domestique);1880-1900;"";""
172841;DECT (Téléphone domestique);1880-1900;"";""
172853;DECT (Téléphone domestique);1880-1900;"";""
172859;DECT (Téléphone domestique);1880-1900;"";""
172887;DECT (Téléphone domestique);1880-1900;"";""
172894;DECT (Téléphone domestique);1880-1900;"";""
172909;DECT (Téléphone domestique);1880-1900;"";""
172931;DECT (Téléphone domestique);1880-1900;"";""
172953;DECT (Téléphone domestique);1880-1900;"";""
172963;DECT (Téléphone domestique);1880-1900;"";""
172966;DECT (Téléphone domestique);1880-1900;"";""
173003;DECT (Téléphone domestique);1880-1900;"";""
173008;DECT (Téléphone domestique);1880-1900;"";""
173015;DECT (Téléphone domestique);1880-1900;"";""
173017;DECT (Téléphone domestique);1880-1900;"";""
173018;DECT (Téléphone domestique);1880-1900;"";""
173022;DECT (Téléphone domestique);1880-1900;"";""
173024;DECT (Téléphone domestique);1880-1900;"";""
173025;DECT (Téléphone domestique);1880-1900;"";""
173027;DECT (Téléphone domestique);1880-1900;"";""
173030;DECT (Téléphone domestique);1880-1900;"";""
173035;DECT (Téléphone domestique);1880-1900;"";""
