Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
750345;-1.605;48.117222222222225;"48°7'2.000""N 1°36'18.000""W";35051;"";"R DE L'HOTEL DE VILLE PL DE L'EGLISE";35510;CESSON SEVIGNE;Monument religieux;49.0;"Commune, communauté de commune"
750352;-1.6600000000000001;48.12027777777778;"48°7'13.000""N 1°39'36.000""W";35238;"";BD DE METZ R ZACHARIE ROUSSIN PARC DE COURTEMANCHE;35000;RENNES;Pylône autostable;30.0;TOTEM
750360;-1.7208333333333332;48.1825;"48°10'57.000""N 1°43'15.000""W";35278;LE HAUT VAL;RTE DU VAL;35760;SAINT GREGOIRE;Pylône tubulaire;37.0;TOTEM
750362;-1.6516666666666668;48.007222222222225;"48°0'26.000""N 1°39'6.000""W";35208;BAS SERRIERE;PRÈS DÉPARTEMENTALE 82 STATION ORANGE FRANCE;35230;ORGERES;Pylône autostable;33.0;TOTEM
750369;-1.6972222222222224;48.080555555555556;"48°4'50.000""N 1°41'50.000""W";35238;LES ANJEUX;DÉPARTEMENT 137;35000;RENNES;Pylône tubulaire;28.0;TOTEM
750398;-1.7075;48.11694444444444;"48°7'1.000""N 1°42'27.000""W";35238;VILLEJEAN;8 AV DU LANGUEDOC R WINSTON CHRUCHILL;35000;RENNES;Bâtiment;20.0;ORANGE Services Fixes
750402;-1.716388888888889;47.98416666666667;"47°59'3.000""N 1°42'59.000""W";35139;LE NID;R DU  STADE COMPLEXE SPORTIF;35890;LAILLE;Pylône tubulaire;37.0;HIVORY
750406;-1.625;48.21527777777778;"48°12'55.000""N 1°37'30.000""W";35079;GAUTREL;"PRÈS D 175 LE CHAMP D' AHAUT PYLÔNE SFR";35250;CHEVAIGNE;Pylône tubulaire;34.0;HIVORY
750408;-1.48;48.105555555555554;"48°6'20.000""N 1°28'48.000""W";35039;"";ZA LA CROIX ROUGE;35530;BRECE;Pylône autostable;30.0;TOTEM
750410;-1.62;48.09527777777778;"48°5'43.000""N 1°37'12.000""W";35055;"";ALLÉE DU STADE PRÈS RN 136;35135;CHANTEPIE;Pylône autostable;26.0;TOTEM
750412;-1.7619444444444445;48.14805555555556;"48°8'53.000""N 1°45'43.000""W";35210;"";R JEAN MARIE DAVID;35740;PACE;Pylône tubulaire;35.0;TOTEM
750414;-1.1694444444444445;48.333888888888886;"48°20'2.000""N 1°10'10.000""W";35324;"";"R. HENRY BECQUEREL Z.I. DE L' AUMAILLERIE";35133;SELLE EN LUITRE;Pylône autostable;25.0;TOTEM
750416;-1.4461111111111111;48.114444444444445;"48°6'52.000""N 1°26'46.000""W";35327;LEBRETIN;D33;35530;SERVON SUR VILAINE;Pylône autostable;47.0;HIVORY
750424;-1.6633333333333333;48.10777777777778;"48°6'28.000""N 1°39'48.000""W";35238;"";10 R ALPHONSE GUÉRIN STADE VÉLODROME COMMANDANT E. BOUGOUIN;35000;RENNES;Pylône tubulaire;35.0;HIVORY
750428;-1.7774999999999999;48.05861111111111;"48°3'31.000""N 1°46'39.000""W";35076;"";R DU BOSQUET ZONE ARTISANALE;35310;CHAVAGNE;Pylône autostable;31.0;TOTEM
